DATE,SAR
20/07/2022,23.62
21/07/2022,23.5
22/07/2022,23.77
25/07/2022,23.58
26/07/2022,23.44
27/07/2022,23.41
28/07/2022,23.63
29/07/2022,23.57
01/08/2022,23.48
02/08/2022,23.84
03/08/2022,23.96
04/08/2022,24.05
05/08/2022,24.15
08/08/2022,24.46
09/08/2022,24.47
10/08/2022,24.41
11/08/2022,24.57
12/08/2022,25.06
15/08/2022,24.56
16/08/2022,24.88
17/08/2022,24.33
18/08/2022,24.49
19/08/2022,24.31
22/08/2022,23.67
23/08/2022,23.64
24/08/2022,23.99
25/08/2022,24.19
26/08/2022,23.92
29/08/2022,24.41
30/08/2022,23.91
31/08/2022,24.28
01/09/2022,24.01
02/09/2022,25.1
06/09/2022,25.17
07/09/2022,25.46
08/09/2022,26.09
09/09/2022,26.47
12/09/2022,27.12
13/09/2022,24.99
14/09/2022,25.17
15/09/2022,25.52
16/09/2022,25.5
19/09/2022,25
20/09/2022,24.69
21/09/2022,24.63
22/09/2022,23.6
23/09/2022,22.75
26/09/2022,21.17
27/09/2022,21.09
28/09/2022,21.89
29/09/2022,21.27
30/09/2022,20.77
03/10/2022,20.87
04/10/2022,21.68
05/10/2022,21.95
06/10/2022,21.91
07/10/2022,21.07
10/10/2022,21.07
11/10/2022,20.71
12/10/2022,20.89
13/10/2022,21.56
14/10/2022,20.96
17/10/2022,21
18/10/2022,20.85
19/10/2022,20.61
20/10/2022,20.36
21/10/2022,20.38
24/10/2022,21.2
25/10/2022,21.8
26/10/2022,21.7
27/10/2022,21.67
28/10/2022,22.23
31/10/2022,22.7
01/11/2022,22.93
02/11/2022,22.52
03/11/2022,22.35
04/11/2022,22.63
07/11/2022,23.58
08/11/2022,22.66
09/11/2022,22.79
10/11/2022,23.2
11/11/2022,23.23
14/11/2022,22.63
15/11/2022,24.18
16/11/2022,24.86
17/11/2022,24.86
18/11/2022,24.88
21/11/2022,26.28
22/11/2022,26.87
23/11/2022,27.16
25/11/2022,27
28/11/2022,25.84
29/11/2022,26.4
30/11/2022,26.37
01/12/2022,26.9
02/12/2022,26.83
05/12/2022,26.19
06/12/2022,25.62
07/12/2022,26.85
08/12/2022,26.03
09/12/2022,26.51
12/12/2022,27.02
13/12/2022,26.75
14/12/2022,25.67
15/12/2022,25.82
16/12/2022,25.67
19/12/2022,25.25
20/12/2022,25.23
21/12/2022,25.36
22/12/2022,25.02
23/12/2022,25.58
27/12/2022,25.57
28/12/2022,25.25
29/12/2022,25.42
30/12/2022,25.49
03/01/2023,26
04/01/2023,26.4
05/01/2023,26.26
06/01/2023,26.79
09/01/2023,26.45
10/01/2023,27.02
11/01/2023,26.99
12/01/2023,27.06
13/01/2023,27.05
17/01/2023,27.15
18/01/2023,27.05
19/01/2023,26.97
20/01/2023,26.98
23/01/2023,27.09
24/01/2023,27.14
25/01/2023,27.02
26/01/2023,26.91
27/01/2023,27.05
30/01/2023,26.7
31/01/2023,26.95
01/02/2023,27.04
02/02/2023,26.8
03/02/2023,26.87
06/02/2023,26.92
07/02/2023,26.99
08/02/2023,26.74
09/02/2023,26.7
10/02/2023,27.17
13/02/2023,27.35
14/02/2023,27.26
15/02/2023,27.3
16/02/2023,27.76
17/02/2023,27.77
21/02/2023,27.21
22/02/2023,26.78
23/02/2023,27.09
24/02/2023,27.17
27/02/2023,27.51
28/02/2023,27.55
01/03/2023,27.49
02/03/2023,27.76
03/03/2023,27.7
06/03/2023,27.71
07/03/2023,27.55
08/03/2023,27.22
09/03/2023,26.36
10/03/2023,25.41
13/03/2023,25.36
14/03/2023,25.56
15/03/2023,24.35
16/03/2023,24.57
17/03/2023,23.94
20/03/2023,24.16
21/03/2023,24.61
22/03/2023,24.12
23/03/2023,23.82
24/03/2023,24.29
27/03/2023,24.35
28/03/2023,24.24
29/03/2023,24.73
30/03/2023,25
31/03/2023,25.28
03/04/2023,25.23
04/04/2023,23.42
05/04/2023,23.08
06/04/2023,23.11
10/04/2023,22.82
11/04/2023,23.05
12/04/2023,23.03
13/04/2023,23.29
14/04/2023,23.31
17/04/2023,24.35
18/04/2023,23.96
19/04/2023,24.47
20/04/2023,24.06
21/04/2023,24.19
24/04/2023,24.5
25/04/2023,24.35
26/04/2023,24.25
27/04/2023,24.47
28/04/2023,24.44
01/05/2023,24.38
02/05/2023,24.32
03/05/2023,24.34
04/05/2023,23.77
05/05/2023,24.34
08/05/2023,25.2
09/05/2023,25.17
10/05/2023,25.04
11/05/2023,25.07
12/05/2023,25.02
15/05/2023,25
16/05/2023,25.41
17/05/2023,25.74
18/05/2023,26.21
19/05/2023,26.52
22/05/2023,26.92
23/05/2023,26.89
24/05/2023,27.16
25/05/2023,26.92
26/05/2023,27.47
30/05/2023,27.92
31/05/2023,28.1
01/06/2023,28.64
02/06/2023,27.94
05/06/2023,27.74
06/06/2023,27.77
07/06/2023,27.76
08/06/2023,27.79
09/06/2023,28
12/06/2023,27.37
13/06/2023,26.97
14/06/2023,26.91
15/06/2023,27.07
16/06/2023,26.68
20/06/2023,26.85
21/06/2023,26.85
22/06/2023,26.52
23/06/2023,25.85
26/06/2023,26.28
27/06/2023,26.54
28/06/2023,26.5
29/06/2023,27.08
30/06/2023,26.99
03/07/2023,27.18
05/07/2023,27.23
06/07/2023,27.16
07/07/2023,27.43
10/07/2023,27.45
11/07/2023,26.38
12/07/2023,25.72
13/07/2023,26.43
14/07/2023,26.5
17/07/2023,26.36
18/07/2023,26.29
19/07/2023,26.29
20/07/2023,25.9
