DATE,TEAM
20/07/2022,213.04
21/07/2022,214.18
22/07/2022,202.27
25/07/2022,196.05
26/07/2022,187.61
27/07/2022,197.28
28/07/2022,204.85
29/07/2022,209.32
01/08/2022,210.59
02/08/2022,214.21
03/08/2022,225.14
04/08/2022,230.41
05/08/2022,268.59
08/08/2022,279.35
09/08/2022,278.86
10/08/2022,286.19
11/08/2022,275.8
12/08/2022,283.25
15/08/2022,288.47
16/08/2022,289.36
17/08/2022,284.26
18/08/2022,283.37
19/08/2022,269.34
22/08/2022,258.47
23/08/2022,258.28
24/08/2022,258.66
25/08/2022,266.33
26/08/2022,257.05
29/08/2022,250.96
30/08/2022,251.4
31/08/2022,247.66
01/09/2022,235.43
02/09/2022,232.42
06/09/2022,229.67
07/09/2022,235.42
08/09/2022,240.32
09/09/2022,258.93
12/09/2022,264.79
13/09/2022,248.9
14/09/2022,255.57
15/09/2022,252.89
16/09/2022,242.9
19/09/2022,241.62
20/09/2022,235.19
21/09/2022,232.3
22/09/2022,220.69
23/09/2022,217.56
26/09/2022,213.61
27/09/2022,214.59
28/09/2022,218.14
29/09/2022,212.33
30/09/2022,210.59
03/10/2022,217.33
04/10/2022,236.21
05/10/2022,242.46
06/10/2022,238.99
07/10/2022,228.24
10/10/2022,220.27
11/10/2022,207.64
12/10/2022,203.37
13/10/2022,202.2
14/10/2022,189
17/10/2022,204.67
18/10/2022,201.44
19/10/2022,187.73
20/10/2022,192.62
21/10/2022,194.1
24/10/2022,194.85
25/10/2022,206.04
26/10/2022,195.22
27/10/2022,198
28/10/2022,200.82
31/10/2022,202.73
01/11/2022,191.74
02/11/2022,172.4
03/11/2022,174.17
04/11/2022,123.73
07/11/2022,119.23
08/11/2022,122.72
09/11/2022,122.29
10/11/2022,140.85
11/11/2022,142.37
14/11/2022,134.96
15/11/2022,141.18
16/11/2022,129.27
17/11/2022,121.69
18/11/2022,118.76
21/11/2022,117.56
22/11/2022,116.34
23/11/2022,124.5
25/11/2022,124.13
28/11/2022,126.45
29/11/2022,122.01
30/11/2022,131.55
01/12/2022,140.06
02/12/2022,141
05/12/2022,133.61
06/12/2022,124.96
07/12/2022,125.46
08/12/2022,135.71
09/12/2022,137.33
12/12/2022,143.79
13/12/2022,143.91
14/12/2022,149.85
15/12/2022,146.23
16/12/2022,147.26
19/12/2022,139.17
20/12/2022,138.02
21/12/2022,139.62
22/12/2022,127.26
23/12/2022,127.22
27/12/2022,124.83
28/12/2022,123.3
29/12/2022,129.68
30/12/2022,128.68
03/01/2023,126.5
04/01/2023,126.4
05/01/2023,119.97
06/01/2023,121.28
09/01/2023,127.17
10/01/2023,132.16
11/01/2023,141.78
12/01/2023,146.48
13/01/2023,148
17/01/2023,152.91
18/01/2023,148.73
19/01/2023,148.89
20/01/2023,157.75
23/01/2023,154.58
24/01/2023,151.7
25/01/2023,151.93
26/01/2023,158.38
27/01/2023,164.25
30/01/2023,156.94
31/01/2023,161.62
01/02/2023,170.31
02/02/2023,182.41
03/02/2023,169.3
06/02/2023,172.37
07/02/2023,181.16
08/02/2023,175.65
09/02/2023,171.15
10/02/2023,172.23
13/02/2023,175.56
14/02/2023,181.87
15/02/2023,187.36
16/02/2023,174.66
17/02/2023,168.56
21/02/2023,165.15
22/02/2023,169.49
23/02/2023,170.63
24/02/2023,162.55
27/02/2023,164.62
28/02/2023,164.33
01/03/2023,162.19
02/03/2023,166.11
03/03/2023,177.53
06/03/2023,176.15
07/03/2023,176.48
08/03/2023,177.9
09/03/2023,169.99
10/03/2023,155.78
13/03/2023,158.32
14/03/2023,159.98
15/03/2023,158
16/03/2023,157.35
17/03/2023,158.25
20/03/2023,148.9
21/03/2023,154.3
22/03/2023,149.03
23/03/2023,153.29
24/03/2023,152.72
27/03/2023,154.99
28/03/2023,155.26
29/03/2023,158.89
30/03/2023,160.59
31/03/2023,171.17
03/04/2023,163.92
04/04/2023,166.49
05/04/2023,156.99
06/04/2023,158.54
10/04/2023,158.92
11/04/2023,162.88
12/04/2023,158.55
13/04/2023,168.09
14/04/2023,165.53
17/04/2023,166.42
18/04/2023,162.32
19/04/2023,162.77
20/04/2023,157.25
21/04/2023,158.55
24/04/2023,154.81
25/04/2023,143.06
26/04/2023,151.74
27/04/2023,153.77
28/04/2023,147.66
01/05/2023,149.55
02/05/2023,147.16
03/05/2023,145.14
04/05/2023,150.05
05/05/2023,135.73
08/05/2023,130.01
09/05/2023,133.15
10/05/2023,137.42
11/05/2023,135.68
12/05/2023,135.02
15/05/2023,145.36
16/05/2023,139.22
17/05/2023,144.04
18/05/2023,148.08
19/05/2023,146.99
22/05/2023,158.38
23/05/2023,159.41
24/05/2023,160.64
25/05/2023,158.88
26/05/2023,166.15
30/05/2023,168.85
31/05/2023,180.79
01/06/2023,177.26
02/06/2023,183.9
05/06/2023,183.27
06/06/2023,184
07/06/2023,171.34
08/06/2023,170.39
09/06/2023,171.99
12/06/2023,175.84
13/06/2023,181.69
14/06/2023,181.23
15/06/2023,182.19
16/06/2023,177.8
20/06/2023,175.83
21/06/2023,168.38
22/06/2023,169.91
23/06/2023,162.41
26/06/2023,158.54
27/06/2023,161.88
28/06/2023,166.89
29/06/2023,161.64
30/06/2023,167.81
03/07/2023,167.59
05/07/2023,172.76
06/07/2023,165.84
07/07/2023,169.45
10/07/2023,173.49
11/07/2023,174.52
12/07/2023,175.34
13/07/2023,177.96
14/07/2023,178.97
17/07/2023,180.43
18/07/2023,187.45
19/07/2023,188.58
20/07/2023,175.64
