DATE,TSLA,CVX,SAR,TEAM,FUJIY
20/07/2022,247.5,146.52,23.62,213.04,55.07
21/07/2022,271.71,145.4,23.5,214.18,55.69
22/07/2022,272.24,144.19,23.77,202.27,56.19
25/07/2022,268.43,148.48,23.58,196.05,55.55
26/07/2022,258.86,147.32,23.44,187.61,54.95
27/07/2022,274.82,149.26,23.41,197.28,56.17
28/07/2022,280.9,150.39,23.63,204.85,56.77
29/07/2022,297.15,163.78,23.57,209.32,57.13
01/08/2022,297.28,160.51,23.48,210.59,57.44
02/08/2022,300.59,159.14,23.84,214.21,56.37
03/08/2022,307.4,155.36,23.96,225.14,56.78
04/08/2022,308.63,151.14,24.05,230.41,56.64
05/08/2022,288.17,153.64,24.15,268.59,56.26
08/08/2022,290.42,153.41,24.46,279.35,55.75
09/08/2022,283.33,155.41,24.47,278.86,54.98
10/08/2022,294.36,155.82,24.41,286.19,54.5
11/08/2022,286.63,159.62,24.57,275.8,54.48
12/08/2022,300.03,159.85,25.06,283.25,55.16
15/08/2022,309.32,156.81,24.56,288.47,55.47
16/08/2022,306.56,156.41,24.88,289.36,55.45
17/08/2022,304,157.7,24.33,284.26,55.89
18/08/2022,302.87,159.02,24.49,283.37,55.66
19/08/2022,296.67,157.69,24.31,269.34,54.87
22/08/2022,289.91,156.9,23.67,258.47,53.81
23/08/2022,296.45,161.99,23.64,258.28,53.82
24/08/2022,297.1,163.19,23.99,258.66,52.81
25/08/2022,296.07,164.62,24.19,266.33,53.26
26/08/2022,288.09,163.41,23.92,257.05,52.48
29/08/2022,284.82,164.63,24.41,250.96,51.59
30/08/2022,277.7,160.62,23.91,251.4,51.04
31/08/2022,275.61,158.06,24.28,247.66,50.79
01/09/2022,277.16,155.54,24.01,235.43,50.76
02/09/2022,270.21,157.85,25.1,232.42,49.56
06/09/2022,274.42,157.12,25.17,229.67,48.83
07/09/2022,283.7,155.11,25.46,235.42,48.54
08/09/2022,289.26,155.95,26.09,240.32,49.23
09/09/2022,299.68,159.97,26.47,258.93,49.96
12/09/2022,304.42,162.5,27.12,264.79,50.15
13/09/2022,292.13,159.41,24.99,248.9,48.79
14/09/2022,302.61,163.27,25.17,255.57,48.83
15/09/2022,303.75,160.62,25.52,252.89,48.22
16/09/2022,303.35,156.45,25.5,242.9,47.99
19/09/2022,309.07,156.9,25,241.62,48.14
20/09/2022,308.73,156.28,24.69,235.19,47.19
21/09/2022,300.8,155.01,24.63,232.3,47.01
22/09/2022,288.59,154.89,23.6,220.69,47.01
23/09/2022,275.33,144.77,22.75,217.56,45.7
26/09/2022,276.01,140.96,21.17,213.61,45.36
27/09/2022,282.94,141.02,21.09,214.59,45.44
28/09/2022,287.81,145.78,21.89,218.14,47.61
29/09/2022,268.21,144.77,21.27,212.33,45.98
30/09/2022,265.25,143.67,20.77,210.59,45.53
03/10/2022,242.4,151.73,20.87,217.33,47.63
04/10/2022,249.44,157.63,21.68,236.21,48.52
05/10/2022,240.81,158.53,21.95,242.46,48.92
06/10/2022,238.13,161.42,21.91,238.99,47.72
07/10/2022,223.07,160.03,21.07,228.24,46.98
10/10/2022,222.96,157.14,21.07,220.27,47
11/10/2022,216.5,157.17,20.71,207.64,45.42
12/10/2022,217.24,157.64,20.89,203.37,45.59
13/10/2022,221.72,165.28,21.56,202.2,46.28
14/10/2022,204.99,160.14,20.96,189,45.16
