DATE,FUJIY
20/07/2022,55.07
21/07/2022,55.69
22/07/2022,56.19
25/07/2022,55.55
26/07/2022,54.95
27/07/2022,56.17
28/07/2022,56.77
29/07/2022,57.13
01/08/2022,57.44
02/08/2022,56.37
03/08/2022,56.78
04/08/2022,56.64
05/08/2022,56.26
08/08/2022,55.75
09/08/2022,54.98
10/08/2022,54.5
11/08/2022,54.48
12/08/2022,55.16
15/08/2022,55.47
16/08/2022,55.45
17/08/2022,55.89
18/08/2022,55.66
19/08/2022,54.87
22/08/2022,53.81
23/08/2022,53.82
24/08/2022,52.81
25/08/2022,53.26
26/08/2022,52.48
29/08/2022,51.59
30/08/2022,51.04
31/08/2022,50.79
01/09/2022,50.76
02/09/2022,49.56
06/09/2022,48.83
07/09/2022,48.54
08/09/2022,49.23
09/09/2022,49.96
12/09/2022,50.15
13/09/2022,48.79
14/09/2022,48.83
15/09/2022,48.22
16/09/2022,47.99
19/09/2022,48.14
20/09/2022,47.19
21/09/2022,47.01
22/09/2022,47.01
23/09/2022,45.7
26/09/2022,45.36
27/09/2022,45.44
28/09/2022,47.61
29/09/2022,45.98
30/09/2022,45.53
03/10/2022,47.63
04/10/2022,48.52
05/10/2022,48.92
06/10/2022,47.72
07/10/2022,46.98
10/10/2022,47
11/10/2022,45.42
12/10/2022,45.59
13/10/2022,46.28
14/10/2022,45.16
17/10/2022,46.07
18/10/2022,45.68
19/10/2022,45.52
20/10/2022,45.3
21/10/2022,46.35
24/10/2022,45.99
25/10/2022,47.07
26/10/2022,47.25
27/10/2022,45.83
28/10/2022,46.3
31/10/2022,45.55
01/11/2022,45.79
02/11/2022,45.61
03/11/2022,45.47
04/11/2022,46.58
07/11/2022,47.3
08/11/2022,47.93
09/11/2022,47.41
10/11/2022,49.75
11/11/2022,54.02
14/11/2022,53.27
15/11/2022,53.2
16/11/2022,52.58
17/11/2022,52.29
18/11/2022,52.34
21/11/2022,51.84
22/11/2022,52.31
23/11/2022,53.02
25/11/2022,53.52
28/11/2022,53.24
29/11/2022,52.72
30/11/2022,53.62
01/12/2022,53.76
02/12/2022,53.54
05/12/2022,52.28
06/12/2022,51.76
07/12/2022,51.5
08/12/2022,51.46
09/12/2022,51.44
12/12/2022,52.03
13/12/2022,53.43
14/12/2022,53.21
15/12/2022,51.88
16/12/2022,51.75
19/12/2022,51.23
20/12/2022,51.36
21/12/2022,50.68
22/12/2022,49.9
23/12/2022,50.56
27/12/2022,49.78
28/12/2022,49.09
29/12/2022,50.44
30/12/2022,50.07
03/01/2023,50.02
04/01/2023,49.79
05/01/2023,49.75
06/01/2023,50.52
09/01/2023,50.78
10/01/2023,49.97
11/01/2023,50.75
12/01/2023,51.2
13/01/2023,51.02
17/01/2023,51.84
18/01/2023,51.94
19/01/2023,52.06
20/01/2023,52.48
23/01/2023,52.17
24/01/2023,52.72
25/01/2023,53.37
26/01/2023,53.17
27/01/2023,53.13
30/01/2023,52.7
31/01/2023,52.7
01/02/2023,52.6
02/02/2023,53.02
03/02/2023,52.31
06/02/2023,51.72
07/02/2023,52.35
08/02/2023,53.01
09/02/2023,50.55
10/02/2023,49.68
13/02/2023,49.79
14/02/2023,49.4
15/02/2023,48.41
16/02/2023,47.83
17/02/2023,47.57
21/02/2023,46.76
22/02/2023,46.65
23/02/2023,47.12
24/02/2023,46.59
27/02/2023,46.86
28/02/2023,46.46
01/03/2023,46.32
02/03/2023,47.05
03/03/2023,48.09
06/03/2023,47.93
07/03/2023,47.89
08/03/2023,48.67
09/03/2023,47.84
10/03/2023,47.68
13/03/2023,47.95
14/03/2023,47.58
15/03/2023,47.11
16/03/2023,47.93
17/03/2023,48.37
20/03/2023,49.24
21/03/2023,49.23
22/03/2023,49.29
23/03/2023,49.51
24/03/2023,49.56
27/03/2023,49.56
28/03/2023,49.94
29/03/2023,49.89
30/03/2023,50.19
31/03/2023,50.74
03/04/2023,50.94
04/04/2023,50.54
05/04/2023,50.3
06/04/2023,50.32
10/04/2023,49.76
11/04/2023,50.2
12/04/2023,50.6
13/04/2023,51.3
14/04/2023,50.77
17/04/2023,50.89
18/04/2023,50.98
19/04/2023,50.68
20/04/2023,50.83
21/04/2023,51.26
24/04/2023,51.62
25/04/2023,51.51
26/04/2023,51.45
27/04/2023,52.12
28/04/2023,52.12
01/05/2023,52.76
02/05/2023,51.93
03/05/2023,52.18
04/05/2023,52.32
05/05/2023,52.85
08/05/2023,53.38
09/05/2023,53.59
10/05/2023,55.91
11/05/2023,57.27
12/05/2023,57.09
15/05/2023,57.57
16/05/2023,58.49
17/05/2023,58.4
18/05/2023,58.48
19/05/2023,59.72
22/05/2023,60.19
23/05/2023,59.38
24/05/2023,60.35
25/05/2023,60.25
26/05/2023,60.78
30/05/2023,60.73
31/05/2023,60.95
01/06/2023,62.1
02/06/2023,63.49
05/06/2023,62.83
06/06/2023,63.76
07/06/2023,62.19
08/06/2023,62.51
09/06/2023,62.93
12/06/2023,63.46
13/06/2023,63.56
14/06/2023,63.22
15/06/2023,63
16/06/2023,61.88
20/06/2023,60.71
21/06/2023,60.93
22/06/2023,60.77
23/06/2023,58.93
26/06/2023,59.43
27/06/2023,59.61
28/06/2023,59.54
29/06/2023,59.42
30/06/2023,59.58
03/07/2023,60.21
05/07/2023,59.32
06/07/2023,58.33
07/07/2023,58.57
10/07/2023,58.73
11/07/2023,58.66
12/07/2023,59.54
13/07/2023,59.95
14/07/2023,59.64
17/07/2023,58.79
18/07/2023,59.65
19/07/2023,59.47
20/07/2023,57.99
