DATE,SAR
2016-01-04,15.5
2016-01-05,15.52
2016-01-06,15.26
2016-01-07,15.3
2016-01-08,15.36
2016-01-11,15.09
2016-01-12,14.87
2016-01-13,14.61
2016-01-14,14.71
2016-01-15,14.35
2016-01-19,14.41
2016-01-20,14.27
2016-01-21,14.26
2016-01-22,14.3
2016-01-25,13.7
2016-01-26,13.79
2016-01-27,13.91
2016-01-28,13.7
2016-01-29,14.09
2016-02-01,14.1
2016-02-02,14.11
2016-02-03,14.17
2016-02-04,14.2
2016-02-05,14.12
2016-02-08,13.8
2016-02-09,13.71
2016-02-10,13.94
2016-02-11,13.67
2016-02-12,13.5
2016-02-16,13.58
2016-02-17,13.68
2016-02-18,14
2016-02-19,13.79
2016-02-22,13.71
2016-02-23,13.72
2016-02-24,13.51
2016-02-25,13.78
2016-02-26,14.06
2016-02-29,14.22
2016-03-01,14.16
2016-03-02,14.03
2016-03-03,14.24
2016-03-04,14.38
2016-03-07,14.24
2016-03-08,14.16
2016-03-09,14.34
2016-03-10,14.3
2016-03-11,14.31
2016-03-14,14.48
2016-03-15,14.43
2016-03-16,14.45
2016-03-17,15.11
2016-03-18,15.39
2016-03-21,15.43
2016-03-22,15.73
2016-03-23,15.75
2016-03-24,15.62
2016-03-28,15.62
2016-03-29,15.74
2016-03-30,15.59
2016-03-31,15.68
2016-04-01,16
2016-04-04,16.35
2016-04-05,16.2
2016-04-06,16.5
2016-04-07,16.39
2016-04-08,16.51
2016-04-11,16.71
2016-04-12,16.84
2016-04-13,16.22
2016-04-14,16.29
2016-04-15,16.22
2016-04-18,16.13
2016-04-19,16.18
2016-04-20,16.26
2016-04-21,16.1
2016-04-22,16.17
2016-04-25,16.22
2016-04-26,16.46
2016-04-27,16.39
2016-04-28,16.58
2016-04-29,16.6
2016-05-02,16.59
2016-05-03,16.38
2016-05-04,16.32
2016-05-05,16.39
2016-05-06,16.05
2016-05-09,16.27
2016-05-10,16.27
2016-05-11,16.31
2016-05-12,16.3
2016-05-13,16.25
2016-05-16,16.25
2016-05-17,16.29
2016-05-18,16.3
2016-05-19,16.38
2016-05-20,16.15
2016-05-23,16.05
2016-05-24,16.23
2016-05-25,16.17
2016-05-26,16.45
2016-05-27,16.6
2016-05-31,16.39
2016-06-01,16.45
2016-06-02,16.48
2016-06-03,16.45
2016-06-06,16.52
2016-06-07,16.5
2016-06-08,16.48
2016-06-09,16.58
2016-06-10,16.37
2016-06-13,16.45
2016-06-14,16.41
2016-06-15,16.54
2016-06-16,16.7
2016-06-17,16.88
2016-06-20,16.93
2016-06-21,16.89
2016-06-22,16.9
2016-06-23,16.95
2016-06-24,16.83
2016-06-27,16.84
2016-06-28,16.95
2016-06-29,16.9
2016-06-30,16.9
2016-07-01,16.9
2016-07-05,16.95
2016-07-06,17.08
2016-07-07,17.18
2016-07-08,17.19
2016-07-11,17.22
2016-07-12,17.24
2016-07-13,17.26
2016-07-14,17.21
2016-07-15,17.09
2016-07-18,17.23
2016-07-19,17.36
2016-07-20,17.5
2016-07-21,17.63
2016-07-22,17.72
2016-07-25,18.12
2016-07-26,18.15
2016-07-27,17.15
2016-07-28,17.2
2016-07-29,17.16
2016-08-01,17.13
2016-08-02,16.91
2016-08-03,17.04
2016-08-04,17.01
2016-08-05,17.1
2016-08-08,17.64
2016-08-09,17.48
2016-08-10,17.58
2016-08-11,17.64
2016-08-12,17.62
2016-08-15,17.63
2016-08-16,17.69
2016-08-17,17.65
2016-08-18,17.83
2016-08-19,17.96
2016-08-22,17.99
2016-08-23,17.93
2016-08-24,17.99
2016-08-25,17.99
2016-08-26,18.02
2016-08-29,17.82
2016-08-30,17.87
2016-08-31,17.93
2016-09-01,17.95
2016-09-02,18.11
2016-09-06,18.15
2016-09-07,18.3
2016-09-08,18.32
2016-09-09,18.31
2016-09-12,18.11
2016-09-13,17.8
2016-09-14,18.17
2016-09-15,18.12
2016-09-16,17.94
2016-09-19,18.21
2016-09-20,18.6
2016-09-21,18.09
2016-09-22,18.12
2016-09-23,18.08
2016-09-26,18.07
2016-09-27,17.79
2016-09-28,17.7
2016-09-29,17.52
2016-09-30,17.85
2016-10-03,18.04
2016-10-04,18.04
2016-10-05,18.05
2016-10-06,17.81
2016-10-07,17.85
2016-10-10,18.01
2016-10-11,18.04
2016-10-12,18.36
2016-10-13,18.22
2016-10-14,18.25
2016-10-17,18.34
2016-10-18,18.4
2016-10-19,18.33
2016-10-20,18.22
2016-10-21,18.3
2016-10-24,18.63
2016-10-25,18.77
2016-10-26,18.79
2016-10-27,18.52
2016-10-28,18.35
2016-10-31,18.25
2016-11-01,17.79
2016-11-02,17.66
2016-11-03,17.2
2016-11-04,17.87
2016-11-07,18
2016-11-08,18.2
2016-11-09,18.4
2016-11-10,18.73
2016-11-11,18.9
2016-11-14,19.2
2016-11-15,19.38
2016-11-16,19.48
2016-11-17,19.35
2016-11-18,19.7
2016-11-21,19.64
2016-11-22,19.89
2016-11-23,19.73
2016-11-25,19.97
2016-11-28,19.87
2016-11-29,20.24
2016-11-30,20.18
2016-12-01,18.66
2016-12-02,19.25
2016-12-05,19.21
2016-12-06,19.29
2016-12-07,19.15
2016-12-08,18.84
2016-12-09,18.12
2016-12-12,18.32
2016-12-13,18.58
2016-12-14,18.82
2016-12-15,19
2016-12-16,19.47
2016-12-19,19.88
2016-12-20,19.73
2016-12-21,20.03
2016-12-22,20.45
2016-12-23,20
2016-12-27,20.57
2016-12-28,20.38
2016-12-29,20.3
2016-12-30,20.61
