DATE,TEAM
2016-01-04,27.41
2016-01-05,26.77
2016-01-06,27.05
2016-01-07,26.97
2016-01-08,27.17
2016-01-11,27.12
2016-01-12,26.82
2016-01-13,26.73
2016-01-14,26.84
2016-01-15,25.19
2016-01-19,24.02
2016-01-20,22.63
2016-01-21,24.24
2016-01-22,24.61
2016-01-25,23.67
2016-01-26,24.01
2016-01-27,22.28
2016-01-28,20.39
2016-01-29,20.77
2016-02-01,21.17
2016-02-02,21.34
2016-02-03,23.77
2016-02-04,24
2016-02-05,20.19
2016-02-08,17.92
2016-02-09,18.92
2016-02-10,20.06
2016-02-11,20.35
2016-02-12,20.1
2016-02-16,22.18
2016-02-17,23.35
2016-02-18,22
2016-02-19,22.13
2016-02-22,22.11
2016-02-23,22.51
2016-02-24,22.56
2016-02-25,23.54
2016-02-26,23.3
2016-02-29,23.77
2016-03-01,23.6
2016-03-02,24.16
2016-03-03,23
2016-03-04,23.02
2016-03-07,23.03
2016-03-08,22.36
2016-03-09,21.77
2016-03-10,22.22
2016-03-11,22.97
2016-03-14,22.73
2016-03-15,23.5
2016-03-16,24.19
2016-03-17,24.42
2016-03-18,23.24
2016-03-21,23.92
2016-03-22,24.69
2016-03-23,24.63
2016-03-24,23.82
2016-03-28,24.01
2016-03-29,24.11
2016-03-30,23.74
2016-03-31,25.15
2016-04-01,23.69
2016-04-04,24.1
2016-04-05,23.48
2016-04-06,23.55
2016-04-07,23.06
2016-04-08,23.24
2016-04-11,23.23
2016-04-12,23.11
2016-04-13,23.57
2016-04-14,22.94
2016-04-15,22.61
2016-04-18,23.3
2016-04-19,23.4
2016-04-20,23.61
2016-04-21,24.3
2016-04-22,23.82
2016-04-25,23.91
2016-04-26,24.1
2016-04-27,23.66
2016-04-28,23.19
2016-04-29,23.17
2016-05-02,24.17
2016-05-03,23.78
2016-05-04,23.28
2016-05-05,23.02
2016-05-06,21.83
2016-05-09,21.09
2016-05-10,21.81
2016-05-11,22.01
2016-05-12,21.58
2016-05-13,21.93
2016-05-16,22.03
2016-05-17,21.73
2016-05-18,22.12
2016-05-19,21.8
2016-05-20,22.69
2016-05-23,22.37
2016-05-24,22.82
2016-05-25,23.02
2016-05-26,22.91
2016-05-27,22.78
2016-05-31,22.57
2016-06-01,23.93
2016-06-02,24.95
2016-06-03,24.15
2016-06-06,24.36
2016-06-07,23.46
2016-06-08,23.79
2016-06-09,23.99
2016-06-10,23.84
2016-06-13,24.35
2016-06-14,24.52
2016-06-15,25.99
2016-06-16,25.5
2016-06-17,25.81
2016-06-20,26.26
2016-06-21,25.99
2016-06-22,26.19
2016-06-23,26.78
2016-06-24,25.9
2016-06-27,24.95
2016-06-28,25.38
2016-06-29,25.81
2016-06-30,25.9
2016-07-01,25.62
2016-07-05,26.17
2016-07-06,26.97
2016-07-07,26.58
2016-07-08,26.98
2016-07-11,27.22
2016-07-12,27.3
2016-07-13,27.11
2016-07-14,27.35
2016-07-15,27.4
2016-07-18,27.2
2016-07-19,27.51
2016-07-20,28.02
2016-07-21,27.73
2016-07-22,28.16
2016-07-25,28.4
2016-07-26,28.7
2016-07-27,29
2016-07-28,29.74
2016-07-29,29.97
2016-08-01,29.84
2016-08-02,29.33
2016-08-03,29.79
2016-08-04,30.04
2016-08-05,31.97
2016-08-08,30.49
2016-08-09,30.66
2016-08-10,29.95
2016-08-11,29.98
2016-08-12,30
2016-08-15,30.33
2016-08-16,29.95
2016-08-17,29.63
2016-08-18,29.71
2016-08-19,29.42
2016-08-22,28.97
2016-08-23,28.97
2016-08-24,28.74
2016-08-25,28.93
2016-08-26,28.94
2016-08-29,29.02
2016-08-30,29.7
2016-08-31,29.48
2016-09-01,29.97
2016-09-02,30.1
2016-09-06,30.42
2016-09-07,30.64
2016-09-08,30.67
2016-09-09,29.48
2016-09-12,30.23
2016-09-13,29.49
2016-09-14,29.73
2016-09-15,30.01
2016-09-16,30
2016-09-19,30.29
2016-09-20,30.26
2016-09-21,31.9
2016-09-22,31.36
2016-09-23,30.75
2016-09-26,30.02
2016-09-27,29.78
2016-09-28,30
2016-09-29,30.32
2016-09-30,29.97
2016-10-03,29.19
2016-10-04,28.72
2016-10-05,29.08
2016-10-06,28.85
2016-10-07,28.27
2016-10-10,28.46
2016-10-11,28.41
2016-10-12,28
2016-10-13,28.05
2016-10-14,28.42
2016-10-17,28.43
2016-10-18,28.91
2016-10-19,29.03
2016-10-20,28.7
2016-10-21,29.04
2016-10-24,29.25
2016-10-25,29.14
2016-10-26,28.77
2016-10-27,28.31
2016-10-28,27.2
2016-10-31,26.86
2016-11-01,27.19
2016-11-02,27.13
2016-11-03,26.94
2016-11-04,26.9
2016-11-07,27.44
2016-11-08,27.42
2016-11-09,27.32
2016-11-10,27.47
2016-11-11,27.49
2016-11-14,27.59
2016-11-15,27.91
2016-11-16,28.55
2016-11-17,29.36
2016-11-18,28.76
2016-11-21,27.91
2016-11-22,27.34
2016-11-23,27.41
2016-11-25,27.42
2016-11-28,27.22
2016-11-29,27.61
2016-11-30,27.14
2016-12-01,26.12
2016-12-02,25.23
2016-12-05,25.59
2016-12-06,25.58
2016-12-07,26.08
2016-12-08,26.53
2016-12-09,26.55
2016-12-12,25.64
2016-12-13,25.28
2016-12-14,24.89
2016-12-15,24.65
2016-12-16,24.19
2016-12-19,24.07
2016-12-20,24.61
2016-12-21,24.33
2016-12-22,24.05
2016-12-23,24.13
2016-12-27,24.31
2016-12-28,24.25
2016-12-29,24.26
2016-12-30,24.08
