DATE,FUJIY
2016-01-04,41.03
2016-01-05,41.54
2016-01-06,40.41
2016-01-07,39.46
2016-01-08,39.31
2016-01-11,39.3
2016-01-12,39.06
2016-01-13,39.07
2016-01-14,39.39
2016-01-15,38.65
2016-01-19,39.24
2016-01-20,37.96
2016-01-21,38.03
2016-01-22,39.2
2016-01-25,38.33
2016-01-26,38.62
2016-01-27,38.62
2016-01-28,37.87
2016-01-29,38.65
2016-02-01,38.69
2016-02-02,38.73
2016-02-03,38.43
2016-02-04,38.7
2016-02-05,38.54
2016-02-08,38.62
2016-02-09,37.26
2016-02-10,36.65
2016-02-11,36.06
2016-02-12,35.6
2016-02-16,37.15
2016-02-17,37.89
2016-02-18,37.5
2016-02-19,37.56
2016-02-22,38
2016-02-23,37.51
2016-02-24,37.87
2016-02-25,38.09
2016-02-26,38.34
2016-02-29,37.7
2016-03-01,38.28
2016-03-02,38.41
2016-03-03,38.87
2016-03-04,39.12
2016-03-07,37.59
2016-03-08,37.52
2016-03-09,37.42
2016-03-10,38.46
2016-03-11,39.4
2016-03-14,39.24
2016-03-15,39
2016-03-16,39.15
2016-03-17,39.33
2016-03-18,39.75
2016-03-21,39.8
2016-03-22,39.96
2016-03-23,39.4
2016-03-24,39.5
2016-03-28,39.29
2016-03-29,40.38
2016-03-30,39.98
2016-03-31,39.4
2016-04-01,38.33
2016-04-04,38.28
2016-04-05,36.99
2016-04-06,37.06
2016-04-07,36.87
2016-04-08,37.75
2016-04-11,37.14
2016-04-12,37.71
2016-04-13,38.38
2016-04-14,38.97
2016-04-15,38.7
2016-04-18,39.34
2016-04-19,39.83
2016-04-20,40.48
2016-04-21,41.26
2016-04-22,41.37
2016-04-25,41.1
2016-04-26,41.76
2016-04-27,42.6
2016-04-28,40.97
2016-04-29,40.86
2016-05-02,40.87
2016-05-03,40.43
2016-05-04,39.94
2016-05-05,40.34
2016-05-06,40.92
2016-05-09,41.3
2016-05-10,42.58
2016-05-11,41.76
2016-05-12,41.7
2016-05-13,41.01
2016-05-16,41.79
2016-05-17,41.22
2016-05-18,41.56
2016-05-19,41.16
2016-05-20,41.18
2016-05-23,41.22
2016-05-24,41.2
2016-05-25,40.74
2016-05-26,40.3
2016-05-27,40.47
2016-05-31,40.22
2016-06-01,40.11
2016-06-02,39.77
2016-06-03,39.68
2016-06-06,39.83
2016-06-07,40.68
2016-06-08,40.84
2016-06-09,40.58
2016-06-10,39.82
2016-06-13,39.31
2016-06-14,38.9
2016-06-15,39.16
2016-06-16,38.92
2016-06-17,38.91
2016-06-20,39.6
2016-06-21,39.81
2016-06-22,39.16
2016-06-23,39.79
2016-06-24,38.05
2016-06-27,37.94
2016-06-28,38.8
2016-06-29,39.05
2016-06-30,38.46
2016-07-01,38.53
2016-07-05,37.85
2016-07-06,37.74
2016-07-07,37.41
2016-07-08,37.67
2016-07-11,38.84
2016-07-12,38.98
2016-07-13,38.67
2016-07-14,38.64
2016-07-15,38.29
2016-07-18,38.27
2016-07-19,38.55
2016-07-20,38.37
2016-07-21,38.14
2016-07-22,38.36
2016-07-25,38.24
2016-07-26,37.94
2016-07-27,36.4
2016-07-28,35
2016-07-29,35.86
2016-08-01,36.04
2016-08-02,36.49
2016-08-03,36.3
2016-08-04,36.68
2016-08-05,37.05
2016-08-08,36.97
2016-08-09,36.99
2016-08-10,36.89
2016-08-11,37.18
2016-08-12,37.1
2016-08-15,37.65
2016-08-16,37.17
2016-08-17,37.23
2016-08-18,36.67
2016-08-19,36.65
2016-08-22,37.1
2016-08-23,37.14
2016-08-24,37.1
2016-08-25,37.39
2016-08-26,37.15
2016-08-29,37.46
2016-08-30,37.69
2016-08-31,37.53
2016-09-01,38.03
2016-09-02,38.18
2016-09-06,38.11
2016-09-07,38.73
2016-09-08,38.34
2016-09-09,37.98
2016-09-12,38.15
2016-09-13,37.85
2016-09-14,37.42
2016-09-15,37.52
2016-09-16,37.14
2016-09-19,37.24
2016-09-20,37.35
2016-09-21,38.26
2016-09-22,38.74
2016-09-23,37.63
2016-09-26,37.28
2016-09-27,37.28
2016-09-28,37.18
2016-09-29,36.9
2016-09-30,36.95
2016-10-03,36.59
2016-10-04,36.25
2016-10-05,36.43
2016-10-06,36.5
2016-10-07,36.73
2016-10-10,36.77
2016-10-11,36.72
2016-10-12,37.34
2016-10-13,37.38
2016-10-14,37.46
2016-10-17,37.18
2016-10-18,38.4
2016-10-19,38.35
2016-10-20,38.88
2016-10-21,38.96
2016-10-24,39.39
2016-10-25,39.28
2016-10-26,39.39
2016-10-27,38.3
2016-10-28,37.71
2016-10-31,37.84
2016-11-01,38
2016-11-02,37.39
2016-11-03,38.14
2016-11-04,38.06
2016-11-07,37.78
2016-11-08,38.29
2016-11-09,38.25
2016-11-10,37.54
2016-11-11,37.35
2016-11-14,37.45
2016-11-15,37.81
2016-11-16,37.32
2016-11-17,37.63
2016-11-18,37.2
2016-11-21,37.52
2016-11-22,38.05
2016-11-23,38.14
2016-11-25,37.95
2016-11-28,38.08
2016-11-29,38.05
2016-11-30,37.72
2016-12-01,37.14
2016-12-02,37.13
2016-12-05,37.31
2016-12-06,37.2
2016-12-07,37.63
2016-12-08,37.57
2016-12-09,38.24
2016-12-12,37.99
2016-12-13,38.36
2016-12-14,37.73
2016-12-15,38.23
2016-12-16,37.45
2016-12-19,38.24
2016-12-20,38.4
2016-12-21,38.13
2016-12-22,38.59
2016-12-23,38.55
2016-12-27,38.1
2016-12-28,38.25
2016-12-29,37.81
2016-12-30,37.85
